logged_at_utc,event,symbol,expiry,window_from,window_to,option_type,strike,instrument_symbol,instrument_token,candles_count,min_required_candles,avg_volume,min_avg_volume,previous_candle_time,candle_time,candle_open,candle_high,candle_low,candle_close,previous_close,current_close,price_multiplier,threshold_upper,change_percent,comparison,signal_detected,skip_reason,note
2026-02-25T16:56:54.746109Z,skip_strike,ABCAPITAL,2026-01-29,2026-01-29T00:00:00.999999,2026-01-29T23:59:00,PE,-650.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:54.837228Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,2650.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:54.975656Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4600.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.052799Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1000.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.098700Z,scan_expiry_segment,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-29T23:59:00,,,,,,,,,,,,,,,,,1.7,,,,,,
2026-02-25T16:56:55.165526Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,2700.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.316953Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4550.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.399485Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,2750.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.477321Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1050.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.639959Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,2800.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.709906Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4500.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.799899Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1100.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:55.801901Z,rebalance_cmp_selected,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,,,,,,,,,,,,,,,,,1.7,,,,,,cmp=1034.5000;source=historical_underlying
2026-02-25T16:56:55.945577Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,2850.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.037354Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4450.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.132367Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1150.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.272658Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,2900.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.397876Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4400.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.483980Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1200.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.559648Z,skip_strike,ADANIGREEN,2026-01-29,2026-01-05T00:00:00,2026-01-05T23:59:59.999999,CE,1050.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.628731Z,skip_strike,ADANIENT,2026-01-29,2026-01-06T00:00:00.999999,2026-01-06T23:59:59.999999,CE,2950.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.767787Z,skip_strike,ABB,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,PE,4350.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
2026-02-25T16:56:56.864256Z,skip_strike,ADANIENSOL,2026-01-29,2026-01-20T00:00:00.999999,2026-01-20T23:59:59.999999,CE,1250.0,,,,,,,,,,,,,,,1.7,,,,,instrument_not_found,
